date,sessions
2015-06-09,1
2015-06-10,1
2015-06-11,0
2015-06-12,0
2015-06-13,2
2015-06-14,0
2015-06-15,0
2015-06-16,1
2015-06-17,1
2015-06-18,0
2015-06-19,2
2015-06-20,0
2015-06-21,2
2015-06-22,1
2015-06-23,1
2015-06-24,2
2015-06-25,1
2015-06-26,1
2015-06-27,0
2015-06-28,2
2015-06-29,1
2015-06-30,1
2015-07-01,1
2015-07-02,0
2015-07-03,1
2015-07-04,0
2015-07-05,0
2015-07-06,1
2015-07-07,1
2015-07-08,4
2015-07-09,0
2015-07-10,1
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,2
2015-07-15,2
2015-07-16,1
2015-07-17,0
2015-07-18,1
2015-07-19,3
2015-07-20,1
2015-07-21,0
2015-07-22,1
2015-07-23,0
2015-07-24,0
2015-07-25,1
2015-07-26,4
2015-07-27,1
2015-07-28,0
2015-07-29,1
2015-07-30,1
2015-07-31,0
2015-08-01,0
2015-08-02,1
2015-08-03,1
2015-08-04,1
2015-08-05,1
2015-08-06,1
2015-08-07,1
2015-08-08,1
2015-08-09,0
2015-08-10,1
2015-08-11,0
2015-08-12,2
2015-08-13,1
2015-08-14,2
2015-08-15,1
2015-08-16,1
2015-08-17,0
2015-08-18,0
2015-08-19,1
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,1
2015-08-25,9
2015-08-26,290
2015-08-27,360
2015-08-28,263
2015-08-29,81
2015-08-30,116
2015-08-31,443
2015-09-01,446
2015-09-02,404
2015-09-03,449
2015-09-04,367
2015-09-05,83
2015-09-06,101
2015-09-07,4
2015-09-08,528
2015-09-09,501
2015-09-10,444
2015-09-11,370
2015-09-12,131
2015-09-13,149
2015-09-14,539
2015-09-15,559
2015-09-16,476
2015-09-17,487
2015-09-18,354
2015-09-19,1
2015-09-20,156
2015-09-21,471
2015-09-22,500
2015-09-23,474
2015-09-24,455
2015-09-25,345
2015-09-26,118
2015-09-27,127
2015-09-28,560
2015-09-29,490
2015-09-30,443
2015-10-01,457
2015-10-02,326
2015-10-03,92
2015-10-04,136
2015-10-05,484
2015-10-06,523
2015-10-07,486
2015-10-08,432
2015-10-09,368
2015-10-10,102
2015-10-11,123
2015-10-12,525
2015-10-13,511
2015-10-14,539
2015-10-15,470
2015-10-16,325
2015-10-17,93
2015-10-18,109
2015-10-19,518
2015-10-20,497
2015-10-21,483
2015-10-22,422
2015-10-23,296
2015-10-24,94
2015-10-25,131
2015-10-26,527
2015-10-27,492
2015-10-28,469
2015-10-29,451
2015-10-30,343
2015-10-31,74
2015-11-01,113
2015-11-02,497
2015-11-03,496
2015-11-04,480
2015-11-05,445
2015-11-06,320
2015-11-07,83
2015-11-08,126
2015-11-09,406
2015-11-10,417
2015-11-11,10
2015-11-12,320
2015-11-13,2
2015-11-14,6
2015-11-15,6
2015-11-16,444
2015-11-17,445
2015-11-18,478
2015-11-19,546
2015-11-20,328
2015-11-21,105
2015-11-22,126
2015-11-23,496
2015-11-24,336
2015-11-25,0
2015-11-26,3
2015-11-27,2
2015-11-28,2
2015-11-29,9
2015-11-30,637
2015-12-01,579
2015-12-02,519
2015-12-03,475
2015-12-04,385
2015-12-05,87
2015-12-06,120
2015-12-07,424
2015-12-08,357
2015-12-09,409
2015-12-10,375
2015-12-11,334
2015-12-12,175
2015-12-13,194
2015-12-14,406
